id,district_id:id,name,cu_name
jurisdiction_pa_205,l10n_pa_edi.district_pa_28,SETENGANTI,10
jurisdiction_pa_206,l10n_pa_edi.district_pa_28,TAIMATI,11
jurisdiction_pa_207,l10n_pa_edi.district_pa_28,TUCUTI,12
jurisdiction_pa_208,l10n_pa_edi.district_pa_29,PINOGANA (CABECERA),1
jurisdiction_pa_209,l10n_pa_edi.district_pa_29,BOCA DE CUPE,2
jurisdiction_pa_210,l10n_pa_edi.district_pa_29,PAYA,3
jurisdiction_pa_211,l10n_pa_edi.district_pa_29,PINOGANA,4
jurisdiction_pa_212,l10n_pa_edi.district_pa_29,PUCURO,5
jurisdiction_pa_213,l10n_pa_edi.district_pa_29,YAPE,6
jurisdiction_pa_214,l10n_pa_edi.district_pa_29,YAVIZA,7
jurisdiction_pa_215,l10n_pa_edi.district_pa_30,CIRILO GUAINORA,1
jurisdiction_pa_216,l10n_pa_edi.district_pa_30,LAJAS BLANCAS,2
jurisdiction_pa_217,l10n_pa_edi.district_pa_30,MANUEL ORTEGA,3
jurisdiction_pa_218,l10n_pa_edi.district_pa_31,RIO SABALO,1
jurisdiction_pa_219,l10n_pa_edi.district_pa_31,JINGURUDO,2
jurisdiction_pa_220,l10n_pa_edi.district_pa_32,CHITRE (CABECERA),1
jurisdiction_pa_221,l10n_pa_edi.district_pa_32,LA ARENA,2
jurisdiction_pa_222,l10n_pa_edi.district_pa_32,MONAGRILLO,3
jurisdiction_pa_223,l10n_pa_edi.district_pa_33,LAS MINAS (CABECERA),1
jurisdiction_pa_224,l10n_pa_edi.district_pa_33,CHEPO,2
jurisdiction_pa_225,l10n_pa_edi.district_pa_33,CHUMICAL,3
jurisdiction_pa_226,l10n_pa_edi.district_pa_33,EL TORO,4
jurisdiction_pa_227,l10n_pa_edi.district_pa_33,LEONES,5
jurisdiction_pa_228,l10n_pa_edi.district_pa_33,QUEBRADA DEL ROSARIO,6
jurisdiction_pa_229,l10n_pa_edi.district_pa_34,LOS POZOS (CABECERA),1
jurisdiction_pa_230,l10n_pa_edi.district_pa_34,CAPURI,2
jurisdiction_pa_231,l10n_pa_edi.district_pa_34,EL CALABACITO,3
jurisdiction_pa_232,l10n_pa_edi.district_pa_34,EL CEDRO,4
jurisdiction_pa_233,l10n_pa_edi.district_pa_34,LA ARENA,5
jurisdiction_pa_234,l10n_pa_edi.district_pa_34,LA PITALOZA,6
jurisdiction_pa_235,l10n_pa_edi.district_pa_34,LOS CERRITOS,7
jurisdiction_pa_236,l10n_pa_edi.district_pa_34,LOS CERROS DE PAJA,8
jurisdiction_pa_237,l10n_pa_edi.district_pa_35,OCU (CABECERA),1
jurisdiction_pa_238,l10n_pa_edi.district_pa_35,CERRO LARGO,2
jurisdiction_pa_239,l10n_pa_edi.district_pa_35,LOS LLANOS,3
jurisdiction_pa_240,l10n_pa_edi.district_pa_35,LLANO GRANDE,4
